"","rownum","risky.high","risky.low","safe","next.risky","next.safe","choice","id"
"1",1,15000,0,5900,2,3,"risky","id-is-empty"
"2",2,11900,0,2100,4,5,"safe","id-is-empty"
"3",5,14000,0,3500,10,11,"safe","id-is-empty"
"4",11,10000,-12000,0,22,23,"safe","id-is-empty"
"5",23,3800,-12900,0,46,47,"safe","id-is-empty"
"6",47,1700,-15000,0,94,95,"safe","id-is-empty"
"7",95,-12000,0,-100,190,191,"safe","id-is-empty"
"8",191,13600,-300,0,382,383,"safe","id-is-empty"
"9",383,12600,0,700,766,767,"safe","id-is-empty"
"10",767,14700,0,4900,1534,1535,"safe","id-is-empty"
"11",1535,-12000,0,-7800,3070,3071,"safe","id-is-empty"
"12",3071,14000,0,4900,6142,6143,"safe","id-is-empty"
"13",6143,1700,-11500,0,12286,12287,"safe","id-is-empty"
"14",12287,-14100,0,-9200,24574,24575,"safe","id-is-empty"
"15",24575,14000,0,6300,49150,49151,"safe","id-is-empty"
"16",49151,14000,0,5600,98302,98303,"safe","id-is-empty"
"17",98303,12600,0,6300,196606,196607,"safe","id-is-empty"
"18",196607,15000,-15000,0,393214,393215,"safe","id-is-empty"
"19",393215,3100,-11500,0,786430,786431,"safe","id-is-empty"
"20",786431,11000,-13000,0,1572862,1572863,"risky","id-is-empty"
